"management" "yes" "no"
"technician" "yes" "no"
"entrepreneur" "yes" "yes"
"blue-collar" "yes" "no"
"management" "yes" "no"
"management" "yes" "yes"
"entrepreneur" "yes" "no"
"retired" "yes" "no"
"technician" "yes" "no"
"admin." "yes" "no"
"admin." "yes" "no"
"technician" "yes" "no"
"technician" "yes" "no"
"services" "yes" "no"
"retired" "yes" "no"
"admin." "yes" "no"
"blue-collar" "yes" "no"
"retired" "yes" "no"
"services" "yes" "no"
"blue-collar" "yes" "yes"
"management" "yes" "no"
"blue-collar" "yes" "yes"
"services" "yes" "no"
"retired" "yes" "yes"
"admin." "yes" "no"
"management" "yes" "no"
"entrepreneur" "yes" "yes"
"management" "yes" "no"
"technician" "yes" "yes"
"management" "yes" "no"
"admin." "yes" "yes"
"blue-collar" "yes" "no"
"management" "yes" "no"
"technician" "yes" "no"
"blue-collar" "yes" "no"
"admin." "yes" "no"
"admin." "yes" "no"
"services" "yes" "no"
"management" "yes" "no"
"blue-collar" "yes" "no"
"retired" "yes" "no"
"retired" "yes" "no"
"admin." "yes" "no"
"self-employed" "yes" "no"
"technician" "yes" "no"
"management" "yes" "no"
"blue-collar" "yes" "no"
"management" "yes" "no"
"management" "yes" "no"
"admin." "yes" "no"
"technician" "yes" "yes"
"management" "yes" "no"
"blue-collar" "yes" "no"
"blue-collar" "yes" "no"
"services" "yes" "no"
"admin." "yes" "no"
"technician" "yes" "no"
"blue-collar" "yes" "no"
"services" "yes" "no"
"blue-collar" "yes" "no"
"management" "yes" "no"
"management" "yes" "no"
"technician" "yes" "no"
"blue-collar" "yes" "yes"
"blue-collar" "yes" "yes"
"services" "yes" "yes"
"management" "yes" "yes"
"blue-collar" "yes" "no"
"technician" "yes" "no"
"technician" "yes" "no"
"services" "yes" "yes"
"services" "yes" "no"
"admin." "yes" "no"
"technician" "yes" "no"
"admin." "yes" "no"
"self-employed" "yes" "yes"
"blue-collar" "yes" "no"
"technician" "yes" "no"
"management" "yes" "yes"
