"technician" "no" "yes"
"entrepreneur" "no" "yes"
"blue-collar" "no" "yes"
"admin." "no" "yes"
"technician" "no" "yes"
"technician" "no" "yes"
"retired" "no" "yes"
"blue-collar" "no" "yes"
"retired" "no" "yes"
"admin." "no" "yes"
"retired" "no" "yes"
"management" "no" "yes"
"technician" "no" "yes"
"blue-collar" "no" "yes"
"admin." "no" "yes"
"management" "no" "yes"
"technician" "no" "yes"
"admin." "no" "yes"
"admin." "no" "yes"
"services" "no" "yes"
"blue-collar" "no" "yes"
"admin." "no" "yes"
"services" "no" "yes"
"management" "no" "yes"
"unemployed" "no" "yes"
"technician" "no" "yes"
"admin." "no" "yes"
"retired" "no" "yes"
"retired" "no" "yes"
"technician" "no" "yes"
"services" "no" "yes"
"management" "no" "yes"
"retired" "no" "yes"
"admin." "no" "yes"
"blue-collar" "no" "yes"
"management" "no" "yes"
"management" "no" "yes"
"retired" "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
"admin." "no" "yes"
"entrepreneur" "no" "yes"
"blue-collar" "no" "yes"
"technician" "no" "yes"
"management" "no" "yes"
"technician" "no" "yes"
"technician" "no" "yes"
"blue-collar" "no" "yes"
"services" "no" "yes"
"services" "no" "yes"
"management" "no" "yes"
"admin." "no" "yes"
"technician" "no" "yes"
"blue-collar" "no" "yes"
"retired" "no" "yes"
"technician" "no" "yes"
"services" "no" "yes"
"entrepreneur" "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
"management" "no" "yes"
"services" "no" "yes"
"technician" "no" "yes"
"unknown" "no" "yes"
"management" "no" "yes"
"admin." "no" "yes"
"admin." "no" "yes"
"management" "no" "yes"
"management" "no" "yes"
"services" "no" "yes"
"technician" "no" "yes"
"blue-collar" "no" "yes"
"admin." "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
"admin." "no" "yes"
"blue-collar" "no" "yes"
"services" "no" "yes"
"management" "no" "yes"
"retired" "no" "yes"
"services" "no" "yes"
"retired" "no" "yes"
"admin." "no" "yes"
"technician" "no" "yes"
"self-employed" "no" "yes"
"blue-collar" "no" "yes"
"services" "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
"technician" "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
"management" "no" "yes"
"management" "no" "yes"
"retired" "no" "yes"
"entrepreneur" "no" "yes"
"blue-collar" "no" "yes"
"services" "no" "yes"
"management" "no" "yes"
"blue-collar" "no" "yes"
"retired" "no" "yes"
"housemaid" "no" "yes"
"services" "no" "yes"
"blue-collar" "no" "yes"
"housemaid" "no" "yes"
"admin." "no" "yes"
"entrepreneur" "no" "yes"
"management" "no" "yes"
"blue-collar" "no" "yes"
"blue-collar" "no" "yes"
